 Title, Isbn, CcbcCollection, Genres, Publisher, Subject, Contributors, ContributorTypes, Contributor Identity
321 Awesome! 20 Fearless Women Who Dared to Be Different,9.78125E+12,Non-Fiction,"Biography/History, Board Book",Feiwel and Friends / Macmillan,Multicultural General,"Eva Chen, Derek Desierto","Author, Illustrator","Asian, Female (Eva Chen), Asian, Male (Derek Desierto)"
A Dream of Birds,9.78166E+12,Picture Book,Contemporary,Amazon Crossing Kids,Black/African,"Emmanuelle Tchoukriel, Shenaz Patel, Edwige-Renee Dro","Author, Illustrator, Translator","Female, White (Emmanuelle Tchoukriel), Asian, Black/African, Female, Multiracial (Shenaz Patel), Black/African, Female (Edwige-Renee Dro)"
"A Game for Swallows: To Die, to Leave, to Return (Expanded Edition)",9.78173E+12,Non-Fiction,"Biography/History, Graphic Novel",Graphic Universe / Lerner,"Arab, Asian, Middle East","Zeina Abirached, Zeina Abirached, Edward Gauvin","Author, Illustrator, Translator","Arab, Asian, Female, Middle East, Muslim (Zeina Abirached), Arab, Asian, Female, Middle East, Muslim (Zeina Abirached), Asian, Male (Edward Gauvin)"
A Is for Axolotl: An Unusual Animal ABC,9.78125E+12,Non-Fiction,"Concept, Natural World",Godwin Books / Henry Holt,,Catherine Macorol,Author,"Asian, Female (Catherine Macorol)"
A Life of Service: The Story of Senator Tammy Duckworth,9.78154E+12,Non-Fiction,Biography/History,Candlewick,"Asian, Physical","Christina Soontornvat, Dow Phumiruk","Author, Illustrator","Asian, Female, Multiracial (Christina Soontornvat), Asian, Female (Dow Phumiruk)"
A Magic Steeped in Poison,9.78125E+12,Fiction,Fantasy,Feiwel and Friends / Macmillan,Asian,Judy I. Lin,Author,"Asian, Female (Judy I. Lin)"
A Mermaid Girl,9.78059E+12,Picture Book,Contemporary,Penguin Random House / Viking,"Brown Skin Unspecified, Muslim","Sana Rafi, Olivia Aserr","Author, Illustrator","Asian, Female, Muslim (Sana Rafi), Arab, Black/African, Female, Middle East, Multiracial (Olivia Aserr)"
A Million to One,9.78006E+12,Fiction,Historical,HarperCollins / HarperTeen,"Asian, Black/African, Latinx, LGBTQ Character/Topic",Adiba Jaigirdar,Author,"Asian, Female, LGBTQ, Muslim (Adiba Jaigirdar)"
A Persian Passover,9.78174E+12,Picture Book,Contemporary,Kalaniot,"Asian, Jewish, Middle East","Etan Basseri, Rashin Kheiriyeh","Author, Illustrator","Asian, Jewish, Male, Middle East (Etan Basseri), Asian, Female, Middle East (Rashin Kheiriyeh)"
A Rover's Story,9.78006E+12,Fiction,Science Fiction,Balzer + Bray / HarperCollins,Brown Skin Unspecified,Jasmine Warga,Author,"Arab, Asian, Middle East, Muslim (Jasmine Warga)"
A Scatter of Light,9.78053E+12,Fiction,Contemporary,Dutton / Penguin Random House,"Asian, Gender Nonconformity, LGBTQ Character/Topic",Malinda Lo,Author,Asian (Malinda Lo)
A Secret Princess,9.78198E+12,Fiction,Historical,G. P. Putnam's Sons / Penguin Random House,"Asian, Physical","Margaret Stohl, Melissa de la Cruz",Author,"Female, White (Margaret Stohl), Asian, Female (Melissa de la Cruz)"
